full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,163155,163155,25333,81,81,9,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,55441,55441,9132,14,14,0,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8968,8968,14526,1,1,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1226,1226,2203,0,0,-1,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,40138,40138,3320,24,24,1,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,47161,47161,4639,12,12,3,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32672,32672,2606,3,3,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24881,24881,2461,12,12,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,766,766,1119,1,1,0,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,3034,3034,3759,0,0,-1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2181,2181,3484,0,0,0,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,17910,17910,2040,6,6,0,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7212,7212,1742,3,3,1,https://github.com/anthropics/claude-code-action
Donchitos/Claude-Code-Game-Studios,14977,14977,2126,42,42,5,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,9258,9258,1658,7,7,3,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9541,9541,1216,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,1853,1853,1390,0,0,0,https://github.com/liuup/claude-code-analysis
frankbria/ralph-claude-code,8773,8773,657,0,0,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,757,757,1739,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2201,2201,2193,2,2,0,https://github.com/chauncygu/collection-claude-code-source-code
ykdojo/claude-code-tips,7866,7866,580,1,1,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,963,963,1967,1,1,0,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5815,5815,536,0,0,1,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2880,2880,666,-1,-1,1,https://github.com/lintsinghua/claude-code-book
OneRedOak/claude-code-workflows,3782,3782,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,557,557,1287,0,0,0,https://github.com/huangserva/claude-code-cli
1rgs/claude-code-proxy,3464,3464,457,0,0,0,https://github.com/1rgs/claude-code-proxy
anthropics/skills,121730,121730,14166,39,39,5,https://github.com/anthropics/skills
777genius/claude-code-source-code,899,899,1121,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3546,3546,598,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3969,3969,378,1,1,0,https://github.com/zebbern/claude-code-guide
lorryjovens-hub/claude-code-rust,1419,1419,577,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
Maciek-roboblog/Claude-Code-Usage-Monitor,7671,7671,386,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
qwibitai/nanoclaw,27637,27637,12561,2,2,5,https://github.com/qwibitai/nanoclaw
FlorianBruniaux/claude-code-ultimate-guide,3797,3797,517,8,8,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zstmfhy/Claude-code,191,191,285,0,0,0,https://github.com/zstmfhy/Claude-code
Yuyz0112/claude-code-reverse,2355,2355,404,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5277,5277,199,0,0,0,https://github.com/kodu-ai/claude-coder
sickn33/antigravity-awesome-skills,34398,34398,5691,12,12,1,https://github.com/sickn33/antigravity-awesome-skills
nicedreamzapp/claude-code-local,1890,1890,381,17,17,3,https://github.com/nicedreamzapp/claude-code-local
fuergaosi233/claude-code-proxy,2471,2471,353,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2477,2477,346,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
Alishahryar1/free-claude-code,2027,2027,379,8,8,1,https://github.com/Alishahryar1/free-claude-code
Windy3f3f3f3f/how-claude-code-works,1960,1960,520,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
anthropics/claude-code-security-review,4339,4339,388,0,0,0,https://github.com/anthropics/claude-code-security-review
wanshuiyin/Auto-claude-code-research-in-sleep,7173,7173,674,1,1,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
alejandrobalderas/claude-code-from-source,1674,1674,518,1,1,0,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2589,2589,291,0,0,0,https://github.com/ding113/claude-code-hub
Cranot/claude-code-guide,2625,2625,289,0,0,0,https://github.com/Cranot/claude-code-guide
forrestchang/andrej-karpathy-skills,71963,71963,6564,268,268,33,https://github.com/forrestchang/andrej-karpathy-skills
fazxes/Claude-code,208,208,207,0,0,0,https://github.com/fazxes/Claude-code
AprilNEA/claude-code-source,373,373,614,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,798,798,599,1,1,0,https://github.com/anthropics/claude-code-base-action
luyao618/Claude-Code-Source-Study,1205,1205,478,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
router-for-me/CLIProxyAPI,27725,27725,4582,4,4,1,https://github.com/router-for-me/CLIProxyAPI
repowise-dev/claude-code-prompts,952,952,359,0,0,0,https://github.com/repowise-dev/claude-code-prompts
https-deeplearning-ai/sc-claude-code-files,491,491,681,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
JrCx7scC/claude-code-source,355,355,527,0,0,0,https://github.com/JrCx7scC/claude-code-source
Yeachan-Heo/oh-my-claudecode,30530,30530,2827,16,16,0,https://github.com/Yeachan-Heo/oh-my-claudecode
guanshan/ClaudeCode,55,55,214,0,0,0,https://github.com/guanshan/ClaudeCode
rohitg00/awesome-claude-code-toolkit,1374,1374,418,1,1,0,https://github.com/rohitg00/awesome-claude-code-toolkit
bfly123/claude_code_bridge,2320,2320,217,0,0,0,https://github.com/bfly123/claude_code_bridge
edmund-io/edmunds-claude-code,1406,1406,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3676,3676,258,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
snarktank/ralph,17573,17573,1749,4,4,0,https://github.com/snarktank/ralph
AICoderTudou/claude-code-tudou,492,492,393,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3426,3426,662,1,1,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
