full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,169196,169196,26216,86,86,15,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,57195,57195,9387,16,16,-1,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9044,9044,14570,1,1,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1266,1266,2258,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,41690,41690,3505,20,20,5,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,48968,48968,4857,52,52,11,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,33162,33162,2657,6,6,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,26071,26071,2609,34,34,1,https://github.com/davila7/claude-code-templates
Alishahryar1/free-claude-code,17282,17282,2433,141,141,25,https://github.com/Alishahryar1/free-claude-code
LING71671/Open-ClaudeCode,789,789,1140,1,1,1,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,3068,3068,3774,0,0,0,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,16480,16480,2388,8,8,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,18647,18647,2130,10,10,0,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2201,2201,3492,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7331,7331,1768,2,2,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9644,9644,1719,6,6,1,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9582,9582,1218,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,2074,2074,1483,3,3,1,https://github.com/liuup/claude-code-analysis
frankbria/ralph-claude-code,8894,8894,666,1,1,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,763,763,1743,0,0,0,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7999,7999,586,1,1,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2315,2315,2236,1,1,1,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,1004,1004,2040,3,3,3,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5850,5850,543,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,3008,3008,679,-1,-1,0,https://github.com/lintsinghua/claude-code-book
huangserva/claude-code-cli,565,565,1298,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3787,3787,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3501,3501,457,0,0,0,https://github.com/1rgs/claude-code-proxy
anthropics/skills,125378,125378,14678,46,46,2,https://github.com/anthropics/skills
zebbern/claude-code-guide,4054,4054,395,1,1,0,https://github.com/zebbern/claude-code-guide
lorryjovens-hub/claude-code-rust,1487,1487,601,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
777genius/claude-code-source-code,901,901,1116,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3587,3587,604,0,0,0,https://github.com/disler/claude-code-hooks-mastery
nicedreamzapp/claude-code-local,2334,2334,451,2,2,0,https://github.com/nicedreamzapp/claude-code-local
FlorianBruniaux/claude-code-ultimate-guide,4027,4027,539,6,6,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7825,7825,392,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
ruvnet/ruflo,33822,33822,3830,24,24,0,https://github.com/ruvnet/ruflo
